name,label,emotion,chroma_stft_mean,rmse_mean,spec_cent_mean,spec_bw_mean,rolloff_mean,zcr_mean,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
a07.wav,5,angry,0.45416087,0.21957728,770.2255702531295,1245.2884639112197,1289.599609375,0.014129154265873016,-310.76282,143.40866,4.7846174,7.1691895,16.058151,0.050546635,-6.4139752,-15.671229,-4.3274364,6.05821,-9.940407,-8.159079,7.0358443,0.691522,-8.220488,-2.155163,3.3879182,-0.57869095,-2.2100763,2.4940739,1.792669,-2.110539,-0.44504833,1.4079946,-0.45361578,-0.9745598,1.1631565,0.00041662954,-3.2631803,-2.7018619,-1.5960761,-1.1663417,0.94243157,-0.25098956,-3.0131607,-1.1323004,1.0132538,1.651683,2.661079,2.5135863,0.39163724,0.38084203,0.4512829,0.5322951,0.5959566,0.58546865,0.5167897,0.4728284,0.4391473,0.37920457,0.33497912,0.3694986
su11.wav,8,surprised,0.5382989,0.124430105,825.6334661934845,1250.1965550289024,1387.058988530585,0.013365400598404254,-374.00827,106.54099,11.895859,35.280777,26.597597,4.0407085,5.1598363,-13.2205305,-9.827945,6.720298,-3.9512305,-6.866674,1.2183667,-0.08366187,-3.6464708,-2.2229226,5.9575486,3.9370387,-7.4270196,-2.2383165,5.6806746,-0.30601412,-2.9881508,-0.7045047,-0.78486073,1.2782352,2.7393467,1.2482092,1.8090862,2.3453224,0.358963,0.87579906,3.8546846,4.1446753,2.4691403,2.4160357,4.480324,6.415912,6.4714932,5.784189,0.5001745,0.5212637,0.56412446,0.60926974,0.5382884,0.52632785,0.54378533,0.5565793,0.56706715,0.560961,0.5103735,0.46137196
h04.wav,3,happy,0.3377126,0.19976781,960.7044833183194,1194.9432581491958,1768.71337890625,0.020118995949074073,-283.0068,143.65929,15.440558,18.874882,19.533524,7.5605164,2.7596843,-20.911928,-13.876142,2.1192188,-14.398356,-14.465226,0.5017247,-1.0954207,-5.7625384,-6.0777044,1.1069695,6.594509,-6.079062,-11.676484,2.8526385,4.370713,-7.799106,-5.1875577,2.1138337,-2.8653333,-6.5050387,-3.1660914,-1.3605592,-1.4635828,-2.596335,-2.0114353,3.2737412,7.388562,8.151427,9.698464,10.817121,8.759604,5.6540313,4.8647594,0.33897978,0.24371774,0.2067312,0.2411541,0.29585516,0.3459462,0.38304296,0.35440382,0.35439327,0.4017782,0.45032242,0.436226
d15.wav,7,disgust,0.3924973,0.094475895,915.5472833427506,1299.6735295594892,1818.5587565104167,0.011485912181712963,-402.85272,151.47821,24.10885,46.29661,42.869415,18.923597,8.077861,-26.580055,-15.520978,15.291818,-6.3802805,-16.567757,1.894286,0.33947855,-6.8791356,1.4335657,10.917572,3.1575496,-10.8691635,-3.509184,8.6786,0.5125716,-4.9231486,1.6349764,-0.27361286,-3.0318286,1.1241745,-0.053786032,-0.5577079,1.2470534,-3.2929845,-2.4490793,3.858496,2.0158863,-2.520612,-3.454573,-2.027027,-0.34754506,-0.5800157,0.029348232,0.4497728,0.4792047,0.47552684,0.512193,0.45057473,0.3757401,0.35739702,0.33710918,0.31025565,0.30985704,0.31062925,0.3417072
f15.wav,6,fearful,0.3492164,0.18055826,945.1624579094566,1198.2643633404484,1706.207275390625,0.014992042824074073,-317.88593,131.78242,26.749844,28.43524,26.068851,15.750008,5.9660125,-24.050203,-16.49097,5.882104,-8.8155775,-15.726552,-5.0140104,-3.6408434,-4.718812,-4.532137,1.5421546,8.018065,-2.336801,-7.9090486,5.223292,6.52208,-3.3838239,-0.99168277,0.8581727,-3.3944125,-1.1986994,-1.0432775,-3.4159224,-1.0524153,-3.7127516,-6.682208,-2.1202867,-1.9258533,-5.1985517,-3.4663413,-0.96011776,0.41809294,1.5452791,1.9134057,0.20732696,0.24135672,0.24770537,0.27893186,0.36500555,0.5517025,0.65787077,0.5742455,0.4230411,0.27239668,0.18796514,0.18304843
sa15.wav,4,sad,0.46164384,0.095513344,755.0213586596481,1147.5514088962195,1393.8761393229167,0.009564435040509259,-401.7444,158.12468,16.73118,28.368643,35.799774,20.038845,6.8813977,-24.884178,-13.447817,12.8581505,-4.555414,-9.359936,2.9093308,-3.1986825,-6.3234315,-1.0525062,4.464804,7.1646514,-2.9064088,-7.1013684,4.617755,4.1649294,-6.201917,-3.9428008,-0.77954125,-3.135498,-0.26494345,0.35091045,-1.6338617,1.0096895,-2.1577418,-6.336072,-1.434459,-1.2610602,-4.005231,0.79914135,1.220368,-2.4526844,0.12069102,1.5999273,0.31613743,0.34641597,0.4512195,0.53509367,0.5973659,0.71123606,0.6568444,0.5280154,0.40673274,0.34369373,0.33848646,0.30848467
n25.wav,1,nuetral,0.49351168,0.06635008,661.9257303329505,1037.8380824837125,1294.7835286458333,0.007893880208333334,-439.03305,176.28125,34.874146,23.428062,37.646328,20.145828,-3.9809413,-19.950113,-5.5391088,9.732233,-2.2910047,-8.740399,-1.9058206,0.41946968,-1.6067262,-1.8033853,5.184031,8.136427,-0.5168392,-1.4959697,5.728603,2.8841422,-3.4005888,-2.121664,1.2021745,3.1469753,2.9039922,0.07017813,-0.1732708,1.1133852,-0.53599274,-0.6108568,1.7297488,1.5058066,-0.2596131,-0.82547194,0.5438683,2.1894948,1.8220026,1.7468117,0.55137014,0.48268732,0.49597338,0.4983565,0.42041376,0.4809775,0.5374872,0.4261619,0.40195832,0.4498314,0.56976926,0.6071534
n07.wav,1,nuetral,0.4571701,0.07835708,594.3323472748435,969.6144703361815,1119.5271809895833,0.009776927806712963,-421.82263,169.41449,36.419693,19.841581,41.281925,25.688585,-6.990867,-19.534597,-0.3718685,9.150986,-6.8301687,-9.298707,2.1658025,2.8637967,-1.6111737,-0.98950714,4.1488824,5.447056,-0.24737097,-0.07770997,4.358627,0.057236776,-3.7936122,0.32932225,2.9764874,3.2752767,3.2203276,0.48882517,-0.9655677,-0.60263187,-0.84871024,1.0127472,2.3806713,0.17377062,-1.2801834,-0.62117004,0.2068094,0.5374673,0.38177368,0.54694587,0.48744926,0.46699715,0.44190106,0.42716292,0.48450872,0.4714449,0.38870752,0.3876452,0.41643828,0.50152403,0.5195254,0.49273637
h07.wav,3,happy,0.3132585,0.24979934,958.1457240800163,1248.9717243578996,1741.8965657552083,0.016251175491898147,-273.09952,144.08873,12.330206,22.143929,24.809706,11.077828,1.3172767,-26.24584,-16.46717,1.3583127,-14.843519,-15.300704,-3.3305454,-3.4152944,-4.0823493,-5.457661,-1.0582966,4.9868197,-2.574088,-5.677474,3.3356352,2.582731,-4.9749775,-3.5884771,-1.5943059,-4.2679443,-3.7622066,-2.8312373,-3.1783803,-2.4869184,-4.601941,-4.537483,0.3669992,1.9178764,2.988595,7.192542,9.343386,9.310809,8.269884,6.5930653,0.19076747,0.15237363,0.17133416,0.22408906,0.23729631,0.29564092,0.4145163,0.43355918,0.43574423,0.46629652,0.41921175,0.31827313
n22.wav,1,nuetral,0.55828255,0.07069706,417.09468976637663,887.3757618011581,593.7581380208334,0.007193106192129629,-475.7049,157.33974,60.435646,27.237368,25.656824,15.969249,-1.2456679,-8.252316,2.429783,6.6477203,-3.6294985,-6.213688,2.5234585,6.59606,0.02178291,-4.480772,3.2061298,8.735002,1.4781657,-2.530278,3.2776575,3.2331054,-3.0818782,-2.2655637,2.6196003,3.4309263,1.8720706,0.74412733,1.7086291,2.2995837,-0.01640921,-0.292022,1.2175936,0.39677507,0.5017188,1.772489,1.1028847,0.5125844,0.917958,0.9374958,0.6251021,0.5740063,0.5426618,0.58727527,0.5624247,0.56130517,0.5476685,0.48473942,0.48032174,0.52576333,0.598339,0.6097832
